filename,location,difference_type,dug_2026jan_value,dug_2026jan_type,heal_cdes_value,heal_cdes_type,dug_2026jan_context,heal_cdes_context
HDPCDE00001.json,$[0].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,{},"{
  ""crf_name"": ""Demographics Adult""
}"
HDPCDE00001.json,$[1].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,{},"{
  ""crf_name"": ""Demographics Adult""
}"
HDPCDE00001.json,$[2].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""years""
  ],
  ""permissible_values"": {
    ""years"": ""years""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""years""
  ],
  ""permissible_values"": {
    ""years"": ""years""
  }
}"
HDPCDE00001.json,$[3].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4""
  ],
  ""permissible_values"": {
    ""1"": ""Male, A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both"",
    ""2"": ""Female, A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both"",
    ""3"": ""Unknown, Not known, not observed, not recorde","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4""
  ],
  ""permissible_values"": {
    ""1"": ""Male, A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both"",
    ""2"": ""Female, A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both"",
    ""3"": ""Unknown, "
HDPCDE00001.json,$[4].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4""
  ],
  ""permissible_values"": {
    ""1"": ""Hispanic or Latino"",
    ""2"": ""Not Hispanic or Latino"",
    ""3"": ""Unknown"",
    ""4"": ""Not Reported""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4""
  ],
  ""permissible_values"": {
    ""1"": ""Hispanic or Latino"",
    ""2"": ""Not Hispanic or Latino"",
    ""3"": ""Unknown"",
    ""4"": ""Not Reported""
  }
}"
HDPCDE00001.json,$[5].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[6].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[7].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[8].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[9].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[10].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[11].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
