filename,location,difference_type,dug_2026jan_value,dug_2026jan_type,heal_cdes_value,heal_cdes_type,dug_2026jan_context,heal_cdes_context
HDPCDE00002.json,$[2].metadata.enum[1],value_mismatch, months,str,months,str,"[
  ""years"",
  "" months""
]","[
  ""years"",
  ""months""
]"
HDPCDE5131.json,$[2].metadata.enum[1],value_mismatch, months,str,months,str,"[
  ""years"",
  "" months"",
  "" weeks"",
  "" days"",
  "" hours""
]","[
  ""years"",
  ""months"",
  ""weeks"",
  ""days"",
  ""hours""
]"
HDPCDE5131.json,$[2].metadata.enum[2],value_mismatch, weeks,str,weeks,str,"[
  ""years"",
  "" months"",
  "" weeks"",
  "" days"",
  "" hours""
]","[
  ""years"",
  ""months"",
  ""weeks"",
  ""days"",
  ""hours""
]"
HDPCDE5131.json,$[2].metadata.enum[3],value_mismatch, days,str,days,str,"[
  ""years"",
  "" months"",
  "" weeks"",
  "" days"",
  "" hours""
]","[
  ""years"",
  ""months"",
  ""weeks"",
  ""days"",
  ""hours""
]"
HDPCDE5131.json,$[2].metadata.enum[4],value_mismatch, hours,str,hours,str,"[
  ""years"",
  "" months"",
  "" weeks"",
  "" days"",
  "" hours""
]","[
  ""years"",
  ""months"",
  ""weeks"",
  ""days"",
  ""hours""
]"
HDPCDE5131.json,$[16].metadata.enum[1],value_mismatch, months,str,months,str,"[
  ""years"",
  "" months"",
  "" weeks"",
  "" days"",
  "" hours""
]","[
  ""years"",
  ""months"",
  ""weeks"",
  ""days"",
  ""hours""
]"
HDPCDE5131.json,$[16].metadata.enum[2],value_mismatch, weeks,str,weeks,str,"[
  ""years"",
  "" months"",
  "" weeks"",
  "" days"",
  "" hours""
]","[
  ""years"",
  ""months"",
  ""weeks"",
  ""days"",
  ""hours""
]"
HDPCDE5131.json,$[16].metadata.enum[3],value_mismatch, days,str,days,str,"[
  ""years"",
  "" months"",
  "" weeks"",
  "" days"",
  "" hours""
]","[
  ""years"",
  ""months"",
  ""weeks"",
  ""days"",
  ""hours""
]"
HDPCDE5131.json,$[16].metadata.enum[4],value_mismatch, hours,str,hours,str,"[
  ""years"",
  "" months"",
  "" weeks"",
  "" days"",
  "" hours""
]","[
  ""years"",
  ""months"",
  ""weeks"",
  ""days"",
  ""hours""
]"
HDPCDE5131.json,$[30].metadata.enum[5],value_mismatch, 6,str,6,str,"[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5"",
  "" 6""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5"",
  ""6""
]"
HDPCDE5141.json,$[17].metadata.enum[5],value_mismatch, 6,str,6,str,"[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5"",
  "" 6""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""5"",
  ""6""
]"
HDPCDE5971.json,$[0].metadata.enum[1],value_mismatch, 2,str,2,str,"[
  ""1"",
  "" 2"",
  ""3"",
  ""4""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4""
]"
