Research Network,Research Program,key,study_type
-,Preventing Opioid Use Disorder,HDP00632,HDP
-,Optimizing Care for People with Opioid Use Disorder and Mental Health Conditions,HDP00696,HDP
-,-,HDP00509,HDP
-,-,HDP01356,HDP
-,-,HDP01380,HDP
-,Pain Management Effectiveness Research Network (ERN),HDP00242,HDP
PAIN ERN,-,HDP01489,HDP
PRISM,Pragmatic and Implementation Studies for the Management of Pain to Reduce Opioid Prescribing (PRISM),HDP00391,HDP
PRISM,-,HDP01493,HDP
-,-,HDP00114,HDP
-,-,HDP00980,HDP
-,-,HDP01260,HDP
-,Leveraging Existing and Real-Time Opioid and Pain Management Data,HDP00984,HDP
-,Leveraging Existing and Real-Time Opioid and Pain Management Data,HDP00981,HDP
-,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,HDP01359,HDP
-,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,HDP01390,HDP
-,Preventing Opioid Use Disorder,HDP00519,HDP
-,Preventing Opioid Use Disorder,HDP00738,HDP
-,-,HDP01264,HDP
-,-,HDP00523,HDP
-,-,HDP01378,HDP
-,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,HDP00544,HDP
-,-,HDP00675,HDP
-,Small Business Programs,HDP00255,HDP
-,Small Business Programs,HDP00095,HDP
PRISM,Pragmatic and Implementation Studies for the Management of Pain to Reduce Opioid Prescribing (PRISM),HDP00125,HDP
PRISM,Pragmatic and Implementation Studies for the Management of Pain to Reduce Opioid Prescribing (PRISM),HDP01498,HDP
-,Training the Next Generation of Researchers in HEAL,HDP01024,HDP
-,-,HDP00976,HDP
BACPAC,-,HDP00323,HDP
BACPAC,Back Pain Consortium Research Program,HDP00728,HDP
BACPAC,-,HDP00233,HDP
BACPAC,Back Pain Consortium Research Program,HDP00668,HDP
-,-,HDP00930,HDP
BACPAC,-,HDP00548,HDP
BACPAC,Back Pain Consortium Research Program,HDP00308,HDP
BACPAC,Back Pain Consortium Research Program,HDP00239,HDP
BACPAC,-,HDP00344,HDP
BACPAC,Back Pain Consortium Research Program,HDP00677,HDP
BACPAC,Training the Next Generation of Researchers in HEAL,HDP01246,HDP
BACPAC,-,HDP00366,HDP
BACPAC,Back Pain Consortium Research Program,HDP00488,HDP
BACPAC,Back Pain Consortium Research Program,HDP00564,HDP
BACPAC,Back Pain Consortium Research Program,HDP00532,HDP
BACPAC,Back Pain Consortium Research Program,HDP00411,HDP
BACPAC,Back Pain Consortium Research Program,HDP00409,HDP
BACPAC,Back Pain Consortium Research Program,HDP00414,HDP
