raw_value,code,canonical_name
A2CPS,A2CPS,Acute to Chronic Pain Signatures Program
Acute to Chronic Pain Signatures Program,A2CPS,Acute to Chronic Pain Signatures Program
ACT NOW,ACT NOW,Advancing Clinical Trials in Neonatal Opioid Withdrawal
Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW),ACT NOW,Advancing Clinical Trials in Neonatal Opioid Withdrawal
Back Pain Consortium Research Program,BACPAC,Back Pain Consortium Research Program
BACPAC,BACPAC,Back Pain Consortium Research Program
CTN,CTN,Clinical Trials Network
Early Phase Pain Investigation Clinical Network (EPPIC-Net),EPPIC-NET,Early Phase Pain Investigation Clinical Network
EPPIC-NET,EPPIC-NET,Early Phase Pain Investigation Clinical Network
HBCD,HBCD,HEALthy Brain and Child Development Study
HEALthy Brain and Child Development (HBCD) Study,HBCD,HEALthy Brain and Child Development Study
HEALthy Brain and Child Development Study (HBCD),HBCD,HEALthy Brain and Child Development Study
DATA 2 ACTION,HD2A,HEAL Data2Action
HEAL Data2Action (HD2A),HD2A,HEAL Data2Action
HEAL KIDS,HEAL KIDS,"HEAL Knowledge, Innovation and Discovery Studies: Chronic Pain Program"
"HEAL KIDS (Knowledge, Innovation and Discovery Studies): Chronic Pain Program",HEAL KIDS,"HEAL Knowledge, Innovation and Discovery Studies: Chronic Pain Program"
HEALING COMMUNITIES,HEALING COMMUNITIES,HEALing Communities Study
HEALing Communities Study,HEALING COMMUNITIES,HEALing Communities Study
HOPE,HOPE,Integrated Approach to Pain and Opioid Use in Hemodialysis Patients
HPC,HPC,HEAL Prevention Cooperative
IGNITE,IGNITE,Innovation Grants to Nurture Initial Translational Efforts
IGNITE (Innovation Grants to Nurture Initial Translational Efforts),IGNITE,Innovation Grants to Nurture Initial Translational Efforts
IMPOWR,IMPOWR,Integrative Management of chronic Pain and OUD for Whole Recovery
INTERACT (INTEgRAtive Back Pain Longitudinal Cohort Teams),INTERACT,INTEgRAtive Back Pain Longitudinal Cohort Teams
JCOIN,JCOIN,Justice Community Opioid Innovation Network
JCOIN,JCOIN,Justice Community Overdose Innovation Network
Justice Community Opioid Innovation Network (JCOIN),JCOIN,Justice Community Opioid Innovation Network
Justice Community Overdose Innovation Network (JCOIN),JCOIN,Justice Community Overdose Innovation Network
Blueprint MedTech,MedTech,Blueprint MedTech
MedTech,MedTech,Blueprint MedTech
MFMU,MFMU,Maternal-Fetal Medicine Units Network
MIRHIQL,MIRHIQL,Reducing Opioid-Related Harms to Treat Chronic Pain (IMPOWR and MIRHIQL)
Reducing Opioid-Related Harms to Treat Chronic Pain (IMPOWR and MIRHIQL),MIRHIQL,Reducing Opioid-Related Harms to Treat Chronic Pain (IMPOWR and MIRHIQL)
"Native Collective Research Effort to Enhance Wellness (N CREW) Program: Addressing Overdose, Substance Use, Mental Health, and Pain",NCREW,"Native Collective Research Effort to Enhance Wellness Program: Addressing Overdose, Substance Use, Mental Health, and Pain"
NCREW,NCREW,"Native Collective Research Effort to Enhance Wellness Program: Addressing Overdose, Substance Use, Mental Health, and Pain"
Pain ERN,Pain ERN,Pain Management Effectiveness Research Network
Pain Management Effectiveness Research Network (ERN),Pain ERN,Pain Management Effectiveness Research Network
PCTP (PainCare Clinician Training Program),PCTP,PainCare Clinician Training Program
PRECISION,PRECISION,"Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies, Origins, and the Nature of Human Pain "
PREP (Pain Research Enhancement Program),PREP,Pain Research Enhancement Program
Pragmatic and Implementation Studies for the Management of Pain to Reduce Opioid Prescribing (PRISM),PRISM,Pragmatic and Implementation Studies for the Management of Pain to Reduce Opioid Prescribing
PRISM,PRISM,Pragmatic and Implementation Studies for the Management of Pain to Reduce Opioid Prescribing
PTDP (Non-addictive Analgesic Therapeutics Development to Treat Pain),PTDP,Non-addictive Analgesic Therapeutics Development to Treat Pain
RE-JOIN,RE-JOIN,Restoring Joint Health and Function to Reduce Pain Consortium
RE-JOIN (Restoring Joint Health and Function to Reduce Pain Consortium),RE-JOIN,Restoring Joint Health and Function to Reduce Pain Consortium
Restoring Joint Health and Function to Reduce Pain (RE-JOIN),RE-JOIN,Restoring Joint Health and Function to Reduce Pain Consortium
Research on Interventions for Stability & Engagement (RISE) Network,RISE,Research on Interventions for Stability & Engagement Network
RISE,RISE,Research on Interventions for Stability & Engagement Network
Advanced Postdoctoral-to-Independent Career Transition Award in PAIN and SUD Research,,Advanced Postdoctoral-to-Independent Career Transition Award in PAIN and SUD Research
Advancing Health Equity in Pain and Comorbidities,,Advancing Health Equity in Pain and Comorbidities
Behavioral Research to Improve Medication-Based Treatment,,Behavioral Research to Improve Medication-Based Treatment
Coordinated Approaches to Pain Care in Health Care Systems,,Coordinated Approaches to Pain Care in Health Care Systems
Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,,Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management
Development and Optimization of Non-Addictive Therapies to Treat Pain,,Development and Optimization of Non-Addictive Therapies to Treat Pain
Development and validation of remote or patient wearable device derived objective biosignatures or functional assessments to monitor pain for use as endpoints in clinical trials,,Development and Validation of Remote or Patient Wearable Device Derived Objective Biosignatures or Functional Assessments to Monitor Pain for Use as Endpoints in Clinical Trials
Discovery and Functional Evaluation of Human Pain-associated Genes and Cells,,Discovery and Functional Evaluation of Human Pain-associated Genes and Cells
"Discovery and Validation of Biomarkers, Endpoints, and Signatures for Pain Conditions",,"Discovery and Validation of Biomarkers, Endpoints, and Signatures for Pain Conditions"
Discovery and Validation of Novel Targets for Safe and Effective Pain Treatment,,Discovery and Validation of Novel Targets for Safe and Effective Pain Treatment
Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,,Discovery and Validation of Novel Targets for Safe and Effective Pain Treatment
Discovery of Biomarkers and Biomarker Signatures to Facilitate Clinical Trials for Pain Therapeutics,,Discovery of Biomarkers and Biomarker Signatures to Facilitate Clinical Trials for Pain Therapeutics
Early-Stage Discovery of New Pain Targets Within the Understudied Druggable Proteome,,Early-Stage Discovery of New Pain Targets Within the Understudied Druggable Proteome
Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids,,Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids
Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose
HEAL PAIN Cohort Program,,HEAL PAIN Cohort Program
Improving Delivery of Healthcare Services for Polysubstance Use,,Improving Delivery of Healthcare Services for Polysubstance Use
Integrated Approach to Pain and Opioid Use in Hemodialysis Patients,,Integrated Approach to Pain and Opioid Use in Hemodialysis Patients
Integrated Basic and Clinical Team-Based Research in Pain,,Integrated Basic and Clinical Team-Based Research in Pain
Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief
Leveraging Existing and Real-Time Opioid and Pain Management Data,,Leveraging Existing and Real-Time Opioid and Pain Management Data
NIH-DOD-VA Pain Management Collaboratory,,NIH-DOD-VA Pain Management Collaboratory
Optimizing Care for People with Opioid Use Disorder and Mental Health Conditions,,Optimizing Care for People with Opioid Use Disorder and Mental Health Conditions
"Optimizing the Duration, Retention, and Discontinuation of Medication Treatment for Opioid Use Disorder",,"Optimizing the Duration, Retention, and Discontinuation of Medication Treatment for Opioid Use Disorder"
"Optimizing the Quality, Reach, and Impact of Addiction Services",,"Optimizing the Quality, Reach, and Impact of Addiction Services"
Oral Complications Arising from Pharmacotherapies to Treat Opioid Use Disorders,,Oral Complications Arising from Pharmacotherapies to Treat Opioid Use Disorders
Preventing Opioid Use Disorder,,Preventing Opioid Use Disorder
Prevention and Management of Chronic Pain in Rural Populations,,Prevention and Management of Chronic Pain in Rural Populations
Prevention of Progression to Moderate or Severe Opioid Use Disorder,,Prevention of Progression to Moderate or Severe Opioid Use Disorder
Rapidly Assessing the Public Health Impact of Emerging Opioid Threats,,Rapidly Assessing the Public Health Impact of Emerging Opioid Threats
Recovery Research Networks,,Recovery Research Networks
Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery,,Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery
Small Business Programs,,Small Business Programs
The Biology of Opioid Exposure during Pregnancy and Effects on Early Neuro-Behavioral Development,,The Biology of Opioid Exposure during Pregnancy and Effects on Early Neuro-Behavioral Development
Training the Next Generation of Researchers in HEAL,,Training the Next Generation of Researchers in HEAL
Translating Discoveries into Effective Devices to Treat Pain,,Translating Discoveries into Effective Devices to Treat Pain
Translational Development of Diagnostic and Therapeutic Devices,,Translational Development of Diagnostic and Therapeutic Devices
Translational Devices to Treat Pain,,Translational Devices to Treat Pain
Translational Research to Advance Testing of Novel Drugs and Human Cell-Based Screening Platforms to Treat Pain and Opioid Use Disorder,,Translational Research to Advance Testing of Novel Drugs and Human Cell-Based Screening Platforms to Treat Pain and Opioid Use Disorder
Understanding Individual Differences in Human Pain Conditions,,Understanding Individual Differences in Human Pain Conditions
Virtual Assessments to Understand Developmental Trajectories of Substance Use Exposure,,Virtual Assessments to Understand Developmental Trajectories of Substance Use Exposure
